Data,Competição,Estádio,Casa,Placar,Visitante
25/11/2012,Brasileiro,Engenhão,Botafogo,2–3,Atlético
07/08/2013,Brasileiro,Independência,Atlético,2–2,Botafogo
22/08/2013,Copa do Brasil,Maracanã,Botafogo,4–2,Atlético
28/08/2013,Copa do Brasil,Independência,Atlético,2–2,Botafogo
26/10/2013,Brasileiro,Maracanã,Botafogo,1–0,Atlético
07/09/2014,Brasileiro,Independência,Atlético,1–0,Botafogo
07/12/2014,Brasileiro,Mané,Botafogo,0–0,Atlético
30/06/2016,Brasileiro,Mineirão,Atlético,5–3,Botafogo
16/10/2016,Brasileiro,Luso Brasileiro,Botafogo,3–2,Atlético
29/06/2017,Copa do Brasil,Independência,Atlético,1–0,Botafogo
09/07/2017,Brasileiro,Nilton Santos,Botafogo,1–1,Atlético
26/07/2017,Copa do Brasil,Nilton Santos,Botafogo,3–0,Atlético
29/10/2017,Brasileiro,Independência,Atlético,0–0,Botafogo
19/08/2018,Brasileiro,Nilton Santos,Botafogo,0–3,Atlético
01/12/2018,Brasileiro,Independência,Atlético,1–0,Botafogo
24/07/2019,Sul-Americana,Nilton Santos,Botafogo,0–1,Atlético
31/07/2019,Sul-Americana,Independência,Atlético,2–0,Botafogo
08/09/2019,Brasileiro,Nilton Santos,Botafogo,2–1,Atlético
04/12/2019,Brasileiro,Mineirão,Atlético,2–0,Botafogo
19/08/2020,Brasileiro,Nilton Santos,Botafogo,2–1,Atlético
25/11/2020,Brasileiro,Mineirão,Atlético,2–1,Botafogo
